"Game","Period","Time","Event","Poss","EventPoss","PossID","EventSeq"
1,2,0.004305903,"Faceoff","RPI","",6,4
1,2,0.004321644,"Offensive_zone","RPI","",6,5
1,2,0.004364005,"Shot_for","RPI","RPI",6,6
1,2,0.004386111,"Shot_for","RPI","RPI",6,7
1,2,0.004656944,"Faceoff","RPI","",6,8
1,2,0.004688079,"Offensive_zone","RPI","",6,9
1,2,0.004693056,"Giveaway","RPI","RPI",6,10
1,2,0.004703588,"Opponent_breakout","RPI","",6,11
1,2,0.004715162,"NZ_offense","RPI","",6,12
1,2,0.004715509,"","Colgate","",6,1
1,2,0.004737616,"","RPI","",7,1
1,2,0.004806019,"Forecheck","RPI","",7,2
1,2,0.004807986,"Entry","RPI","",7,3
1,2,0.004863657,"","Colgate","",7,1
1,2,0.004875579,"Takeaway","Colgate","Colgate",7,2
1,2,0.004919444,"","RPI","",8,1
1,2,0.004943981,"","Colgate","",8,1
1,2,0.005002546,"Opponent_breakout","Colgate","",8,2
1,2,0.005025231,"Opponent_forecheck","Colgate","",8,3
1,2,0.005027894,"Opponent_entry","Colgate","",8,4
1,2,0.00512963,"","RPI","",9,1
1,2,0.005152083,"Giveaway","RPI","RPI",9,2
1,2,0.005166667,"NZ_offense","RPI","",9,3
1,2,0.00519838,"Breakout","RPI","",9,4
1,2,0.00526956,"Entry","RPI","",9,5
1,2,0.005278704,"Offensive_zone","RPI","",9,6
1,2,0.005309491,"Shot_for","RPI","RPI",9,7
1,2,0.00548669,"","Colgate","",9,1
1,2,0.005478819,"Takeaway","Colgate","Colgate",9,2
1,2,0.005502083,"","RPI","",10,1
1,2,0.005554282,"Shot_for","RPI","RPI",10,2
1,2,0.005860995,"Giveaway","RPI","RPI",10,3
1,2,0.005870486,"Opponent_breakout","RPI","",10,4
1,2,0.005873727,"","Colgate","",10,1
1,2,0.005883333,"Opponent_entry","Colgate","",10,2
1,2,0.005892593,"Defensive_zone","Colgate","",10,3
1,2,0.005930208,"Shot_against","Colgate","Colgate",10,4
1,2,0.005986111,"Breakout","Colgate","",10,5
1,2,0.006021528,"","RPI","",11,1
1,2,0.006025116,"Forecheck","RPI","",11,2
1,2,0.006033796,"Entry","RPI","",11,3
1,2,0.006047454,"Giveaway","RPI","RPI",11,4
1,2,0.006057755,"","Colgate","",11,1
1,2,0.006057986,"NZ_forecheck","Colgate","",11,2
1,2,0.006081134,"Opponent_entry","Colgate","",11,3
1,2,0.006122917,"Opponent_forecheck","Colgate","",11,4
1,2,0.00615,"","RPI","",12,1
1,2,0.006163773,"Breakout","RPI","",12,2
1,2,0.006204051,"Entry","RPI","",12,3
1,2,0.006245255,"Shot_for","RPI","RPI",12,4
1,2,0.007051157,"Faceoff","RPI","",12,5
1,2,0.007066782,"Offensive_zone","RPI","",12,6
1,2,0.007074421,"","RPI","",12,7
1,2,0.007106366,"Shot_for","RPI","RPI",12,8
1,2,0.007190972,"","Colgate","",12,1
1,2,0.007247222,"Opponent_breakout","Colgate","",12,2
